Geneid	Chr	Start	End	Strand	Length	sample1	sample2	sample3	sample4
YDR101C	IV	655686	657467	-	1782	35	29	29	36
YDR182W-A	IV	829151	829354	+	204	0	0	2	5
YDR212W	IV	887232	888911	+	1680	182	195	345	335
YDR476C	IV	1410453	1411127	-	675	174	198	312	377
YDL131W	IV	227393	228715	+	1323	131	126	189	206
YDR458C	IV	1380055	1382046	-	1992	40	33	77	98
YDR081C	IV	607304	610081	-	2778	35	40	68	99
YDL071C	IV	330666	331040	-	375	5	4	4	5
YDR113C	IV	680496	681617	-	1122	25	20	68	69
YDR168W	IV	790328	791848	+	1521	89	66	121	145
YDR520C	IV	1481085	1483403	-	2319	15	11	30	40
YDR307W	IV	1075865	1077853	+	1989	42	31	64	72
YDR265W	IV	998864	999877	+	1014	30	31	41	70
YDL076C	IV	320668	321552	-	885	48	46	95	101
YDL006W	IV	439909	440754	+	846	38	31	68	73
YDL086W	IV	301413	302234	+	822	81	60	114	117
YDR238C	IV	937895	940816	-	2922	270	256	460	526
YDR077W	IV	600793	601809	+	1017	5140	4617	737	872
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	22	30	56	65
YDL023C	IV	411761	412081	-	321	0	0	0	2
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	914	798	1050	1221
YDR036C	IV	523211	524713	-	1503	57	60	55	64
YDR057W	IV	565927	567555	+	1629	43	34	92	100
YDR513W	IV	1471017	1471448	+	432	106	97	180	187
YDR487C	IV	1428354	1428980	-	627	272	247	422	423
YDR066C	IV	581908	582498	-	591	7	14	18	17
YDR352W	IV	1181801	1182754	+	954	46	36	84	70
YDR278C	IV	1017001	1017318	-	318	1	0	0	0
YDR079C-A	IV	603593	603811	-	219	13	6	16	35
YDR204W	IV	858137	859144	+	1008	80	80	117	140
YDL247W-A	IV	3762	3836	+	75	0	0	0	0
YDL024C	IV	408451	409857	-	1407	4	1	18	15
tA(AGC)D	IV	410379	410451	+	73	0	0	0	0
YDR109C	IV	673520	675667	-	2148	25	31	54	45
YDR466W	IV	1395121	1397817	+	2697	51	57	117	118
YDR427W	IV	1322205	1323386	+	1182	80	92	191	189
YDL044C	IV	373967	375289	-	1323	15	13	22	26
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	115	77	94	95
YDR193W	IV	844554	844952	+	399	0	0	0	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	27	15	32	53
YDR377W	IV	1228611	1228916	+	306	65	58	127	152
YDR219C	IV	905455	906852	-	1398	29	19	47	83
YDR416W	IV	1298432	1301011	+	2580	32	22	60	52
YDR365C	IV	1204497	1206383	-	1887	209	143	196	221
YDL233W	IV	36797	38173	+	1377	46	36	96	87
YDR287W	IV	1035995	1036873	+	879	46	54	89	110
YDR448W	IV	1356065	1357369	+	1305	32	27	52	40
YDR180W	IV	821295	825776	+	4482	16	23	30	23
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	0	0	0	0
tT(AGU)D	IV	434264	434336	-	73	0	0	0	0
YDR294C	IV	1050459	1052228	-	1770	187	166	269	325
YDR198C	IV	852533	853972	-	1440	18	10	25	30
YDL163W	IV	166956	167258	+	303	0	0	0	0
YDL119C	IV	246689	247612	-	924	18	17	52	47
YDR501W	IV	1451353	1452918	+	1566	7	7	10	15
YDL214C	IV	74446	76545	-	2100	6	6	37	31
YDR264C	IV	996029	998323	-	2295	147	152	284	291
YDR343C	IV	1159608	1161320	-	1713	82	56	20	28
YDR373W	IV	1222759	1223331	+	573	43	49	108	102
YDR354W	IV	1184747	1185889	+	1143	105	103	169	172
YDR246W	IV	954288	954947	+	660	56	65	124	140
YDR428C	IV	1323454	1324239	-	786	16	23	27	26
YDR157W	IV	769931	770332	+	402	3	4	9	8
YDR316W	IV	1093763	1095178	+	1416	30	23	48	49
YDL142C	IV	201719	202570	-	852	27	18	53	61
YDR253C	IV	963990	964565	-	576	27	16	40	43
YDL112W	IV	258915	263225	+	4311	49	54	90	91
YDR545W	IV	1526321	1531711	+	5391	1	0	0	0
YDL187C	IV	125509	125838	-	330	0	0	0	0
YDL138W	IV	213351	215642	+	2292	53	46	93	97
YDR528W	IV	1494586	1495857	+	1272	7	11	28	45
YDR284C	IV	1030550	1031419	-	870	94	96	155	205
YDR050C	IV	555726	556472	-	747	5595	5126	7380	8306
YDL010W	IV	432330	433025	+	696	22	16	41	47
YDL065C	IV	336249	337277	-	1029	42	45	110	112
YDR349C	IV	1172386	1174176	-	1791	120	129	247	268
YDL098C	IV	284581	285165	-	585	8	15	24	23
YDL234C	IV	34237	36477	-	2241	180	133	174	203
YDR118W	IV	685882	687840	+	1959	13	14	32	26
YDR118W-A	IV	687768	687884	+	117	2	1	0	0
YDR159W	IV	771877	775782	+	3906	36	37	86	87
YDR111C	IV	678241	679764	-	1524	43	38	164	167
YDR128W	IV	709549	712995	+	3447	69	65	159	186
YDL034W	IV	391783	392127	+	345	1	0	4	0
YDR065W	IV	580687	581784	+	1098	7	9	25	13
YDL004W	IV	443029	443511	+	483	84	104	205	228
YDR024W	IV	491017	491502	+	486	0	2	2	0
YDL171C	IV	149203	155640	-	6438	331	294	329	384
YDR083W	IV	612073	613251	+	1179	25	19	25	25
YDR457W	IV	1369790	1379596	+	9807	188	172	298	300
YDR014W	IV	474046	475989	+	1944	7	12	21	25
YDR206W	IV	862054	864708	+	2655	104	77	151	150
YDR478W	IV	1414575	1415171	+	597	7	11	14	10
YDR169C	IV	792348	793889	-	1542	81	61	133	183
YDR115W	IV	682175	682492	+	318	28	37	46	57
YDL159W-A	IV	172182	172313	+	132	0	0	0	0
YDL232W	IV	38487	38597	+	111	24	23	42	47
YDL240C-A	IV	22471	22608	-	138	1	0	0	3
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	0	0	0
YDR432W	IV	1328783	1330027	+	1245	325	317	412	462
YDL022C-A	IV	409808	410056	-	249	0	0	1	0
YDL114W-A	IV	254935	255048	+	114	0	1	1	1
YDR410C	IV	1292372	1293091	-	720	23	11	62	64
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0
YDL072C	IV	329836	330447	-	612	226	224	440	492
YDR053W	IV	560249	560644	+	396	0	0	0	0
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	60	67	102	118
YDR482C	IV	1420431	1420838	-	408	100	85	98	116
YDL070W	IV	331024	332940	+	1917	131	122	160	177
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	1375	1213	1768	1957
YDL135C	IV	218680	219288	-	609	44	57	128	106
YDL077C	IV	316971	320120	-	3150	49	46	71	63
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0
YDL033C	IV	392659	393912	-	1254	18	13	16	17
YDL031W	IV	394217	397204	+	2988	46	61	58	89
YDR398W	IV	1267471	1269402	+	1932	74	64	70	94
YDR326C	IV	1120609	1124925	-	4317	68	45	100	129
YDL052C	IV	362672	363583	-	912	144	117	189	203
YDR536W	IV	1508005	1509714	+	1710	6	10	28	18
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	3	2	6	3
YDL116W	IV	251566	253746	+	2181	42	52	92	98
YDR028C	IV	497835	500879	-	3045	301	252	396	425
YDL007W	IV	438047	439360	+	1314	278	258	556	562
YDR236C	IV	935236	935892	-	657	36	34	78	70
YDR011W	IV	465919	470424	+	4506	260	239	180	188
YDR155C	IV	768512	769000	-	489	884	860	1080	1177
YDR414C	IV	1295598	1296686	-	1089	15	22	32	52
YDR026C	IV	492556	494268	-	1713	53	46	92	104
YDL073W	IV	326613	329567	+	2955	65	33	76	98
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	0	0	0	0
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	46	34	95	82
YDL145C	IV	194571	198176	-	3606	357	395	575	589
YDR203W	IV	857682	857999	+	318	0	0	0	0
YDL104C	IV	273653	274876	-	1224	13	15	27	15
YDL149W	IV	184925	187918	+	2994	43	43	76	72
YDR231C	IV	926293	926910	-	618	23	21	36	48
YDR045C	IV	547978	548310	-	333	32	21	46	45
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	957	925	1195	1433
YDR415C	IV	1297037	1298161	-	1125	37	46	76	73
YDR339C	IV	1149951	1150520	-	570	34	33	50	53
YDL213C	IV	77289	77966	-	678	82	60	149	165
YDR096W	IV	637139	639823	+	2685	167	131	290	285
YDL019C	IV	417663	421514	-	3852	200	196	254	281
YDL022W	IV	411825	413000	+	1176	543	532	380	409
YDR413C	IV	1294836	1295411	-	576	0	0	0	0
YDR391C	IV	1257358	1258056	-	699	106	107	114	121
YDR091C	IV	626708	628534	-	1827	68	65	77	87
YDR240C	IV	943674	945152	-	1479	10	18	24	25
YDL244W	IV	16204	17226	+	1023	1	2	10	9
YDR179C	IV	818708	819196	-	489	2	2	3	10
YDL165W	IV	164290	164865	+	576	29	31	74	66
YDL140C	IV	205360	210561	-	5202	558	520	645	739
YDR120C	IV	691549	693261	-	1713	50	45	49	65
YDR003W	IV	454122	454754	+	633	36	46	106	127
YDR499W	IV	1447830	1450073	+	2244	29	18	70	42
YDR166C	IV	786306	789221	-	2916	26	30	59	71
YDL092W	IV	292781	293221	+	441	71	55	113	102
YDL041W	IV	378102	378455	+	354	0	0	0	0
YDL241W	IV	20635	21006	+	372	36	33	18	22
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	512	468	700	779
YDR277C	IV	1014401	1015702	-	1302	205	191	91	88
YDR291W	IV	1039728	1042961	+	3234	47	33	75	85
YDR475C	IV	1407464	1410094	-	2631	111	94	176	199
YDR244W	IV	950563	952401	+	1839	67	53	116	102
YDR407C	IV	1284069	1287938	-	3870	46	41	98	112
YDR382W	IV	1239492	1239824	+	333	1474	1386	1817	1992
YDR102C	IV	657648	657980	-	333	0	0	1	0
YDL188C	IV	123865	124998	-	1134	71	98	128	132
YDR405W	IV	1277646	1278437	+	792	105	119	164	190
YDR443C	IV	1345676	1349938	-	4263	48	35	65	90
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	24	24	74	91
YDR144C	IV	744311	746101	-	1791	48	71	119	117
YDL157C	IV	174232	174588	-	357	32	33	66	86
YDL058W	IV	345665	351037	+	5373	70	67	146	183
YDL096C	IV	286998	287324	-	327	0	0	0	0
YDL155W	IV	176773	178056	+	1284	51	57	113	136
YDR147W	IV	751631	753235	+	1605	20	21	65	65
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	334	285	550	581
YDL128W	IV	232652	233887	+	1236	154	131	211	246
YDR310C	IV	1081128	1084316	-	3189	88	85	150	158
YDL160C-A	IV	169366	169608	-	243	16	23	28	35
YDR127W	IV	704484	709250	+	4767	320	290	364	408
YDR497C	IV	1443713	1445467	-	1755	793	714	919	923
YDL162C	IV	167359	167715	-	357	0	1	0	0
tS(AGA)D3	IV	1305630	1305712	+	83	0	0	0	0
YDR201W	IV	856317	856814	+	498	16	23	45	57
YDR163W	IV	781423	781950	+	528	28	23	49	57
YDL146W	IV	192750	194225	+	1476	50	46	78	89
YDR363W-A	IV	1202128	1202397	+	270	73	55	128	153
YDL221W	IV	62011	62562	+	552	4	8	14	18
YDL089W	IV	296820	298274	+	1455	30	23	42	52
YDR385W	IV	1243230	1245758	+	2529	301	269	373	396
YDR331W	IV	1129588	1130823	+	1236	46	37	92	80
YDR196C	IV	850274	850999	-	726	71	66	99	132
YDR116C	IV	682724	683581	-	858	59	59	58	82
YDR001C	IV	450220	452475	-	2256	270	240	312	351
YDL230W	IV	42700	43707	+	1008	76	48	86	111
YDR160W	IV	776163	778721	+	2559	51	46	80	104
YDR123C	IV	698554	699468	-	915	10	11	42	50
YDR322W	IV	1110589	1111692	+	1104	36	38	48	60
YDR040C	IV	535192	538467	-	3276	17	24	19	18
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	1177	1052	1373	1518
YDR046C	IV	548762	550576	-	1815	310	305	280	323
YDL057W	IV	351434	352420	+	987	20	20	34	48
YDL248W	IV	1802	2953	+	1152	12	1	12	6
YDR008C	IV	462252	462602	-	351	1	0	4	7
YDR029W	IV	501100	501414	+	315	3	3	4	6
YDR485C	IV	1424820	1427207	-	2388	46	45	86	102
YDR408C	IV	1288215	1288859	-	645	194	176	200	213
YDR038C	IV	527422	530697	-	3276	19	11	15	25
YDL204W	IV	94605	95786	+	1182	66	62	52	53
YDR019C	IV	484163	485365	-	1203	183	154	34	34
YDR477W	IV	1412373	1414274	+	1902	126	131	160	172
YDR254W	IV	965113	966489	+	1377	21	16	46	45
YDR514C	IV	1471548	1472999	-	1452	31	23	49	35
YDR296W	IV	1055212	1055892	+	681	97	103	110	152
YDL216C	IV	68997	70319	-	1323	25	21	32	69
YDL100C	IV	282112	283176	-	1065	323	304	532	605
YDL068W	IV	333500	333829	+	330	1	0	0	0
YDL026W	IV	404749	405060	+	312	0	0	0	0
YDL124W	IV	240259	241197	+	939	371	314	319	352
YDL227C	IV	46271	48031	-	1761	13	14	4	7
YDL111C	IV	263313	264110	-	798	45	47	71	85
YDR324C	IV	1114433	1116763	-	2331	27	34	30	34
YDL170W	IV	156318	157904	+	1587	38	34	55	64
YDR317W	IV	1102184	1103428	+	1245	5	4	14	17
YDR436W	IV	1334821	1336953	+	2133	90	96	178	198
YDR208W	IV	868224	870563	+	2340	67	52	105	146
YDR386W	IV	1246084	1247982	+	1899	15	18	54	53
YDR504C	IV	1456311	1456694	-	384	1	4	1	3
YDL220C	IV	62244	65018	-	2775	32	25	33	52
YDR396W	IV	1266295	1266795	+	501	2	5	8	4
YDR258C	IV	971808	974243	-	2436	174	131	160	171
YDR176W	IV	814452	816560	+	2109	75	64	166	194
YDL099W	IV	283419	284444	+	1026	81	77	180	212
YDR380W	IV	1234218	1236125	+	1908	30	41	64	68
YDL110C	IV	264512	264964	-	453	242	206	377	379
YDR148C	IV	753675	755066	-	1392	149	154	198	215
YDL201W	IV	99561	100421	+	861	30	35	46	54
YDL107W	IV	268921	269976	+	1056	21	16	30	40
YDR515W	IV	1473429	1474772	+	1344	19	21	24	30
YDR133C	IV	720962	721297	-	336	484	491	381	407
YDR378C	IV	1229349	1229609	-	261	61	72	119	157
YDR473C	IV	1404445	1405854	-	1410	26	19	62	51
YDR403W	IV	1274602	1276212	+	1611	5	2	8	15
YDR268W	IV	1004004	1005143	+	1140	21	20	27	24
YDR409W	IV	1289406	1292120	+	2715	50	40	77	82
YDR173C	IV	810565	811632	-	1068	20	19	32	34
YDR187C	IV	836228	836746	-	519	0	1	1	1
YDR389W	IV	1252537	1254501	+	1965	47	54	83	90
YDR417C	IV	1301555	1301926	-	372	0	0	1	1
YDR165W	IV	784871	786205	+	1335	40	37	56	50
YDL113C	IV	256633	258555	-	1923	51	47	92	106
YDR426C	IV	1321629	1322006	-	378	0	0	1	0
YDR521W	IV	1483141	1483476	+	336	0	0	0	0
YDR086C	IV	616928	617170	-	243	129	90	260	284
YDL021W	IV	413953	414888	+	936	12	14	30	43
YDR023W	IV	489508	490896	+	1389	341	341	535	624
YDR394W	IV	1261681	1262967	+	1287	358	329	450	531
YDR320C-A	IV	1108280	1108498	-	219	9	18	35	40
YDR003W-A	IV	454782	454904	+	123	11	14	34	40
YDR183W	IV	829585	830277	+	693	14	10	30	40
YDR245W	IV	952800	953981	+	1182	130	108	194	235
YDR431W	IV	1328390	1328701	+	312	0	0	1	0
YDL154W	IV	178334	181039	+	2706	6	7	7	8
YDL184C	IV	130407	130484	-	78	327	343	659	755
YDR153C	IV	766736	767971	-	1236	67	83	162	139
YDR014W-A	IV	477797	478285	+	489	0	0	2	4
YDR434W	IV	1331237	1332841	+	1605	70	78	139	150
YDL002C	IV	446967	447578	-	612	34	26	65	58
YDR225W	IV	915530	915928	+	399	601	562	757	835
YDR418W	IV	1301616	1302113	+	498	172	166	297	289
YDR224C	IV	914317	914712	-	396	554	528	958	1022
YDR502C	IV	1453310	1454464	-	1155	330	287	262	276
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	447	359	592	692
YDL039C	IV	381985	384081	-	2097	173	167	51	70
YDL225W	IV	52445	54100	+	1656	59	57	127	124
YDR259C	IV	974631	975782	-	1152	11	13	37	43
YDR495C	IV	1438115	1441150	-	3036	20	14	44	32
YDL151C	IV	183318	183899	-	582	0	0	0	0
YDR357C	IV	1189199	1189567	-	369	11	8	26	21
YDR370C	IV	1217782	1219110	-	1329	23	19	35	35
YDR298C	IV	1058176	1058814	-	639	108	105	209	210
YDR276C	IV	1013476	1013643	-	168	360	373	599	681
YDL185C-A	IV	126608	126835	-	228	2	1	2	1
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0
tM(CAU)D	IV	1175829	1175901	+	73	0	0	0	0
YDL247W	IV	5985	7814	+	1830	0	0	2	3
YDR406W	IV	1279210	1283799	+	4590	238	196	104	102
YDR273W	IV	1010176	1011273	+	1098	16	13	33	30
YDR269C	IV	1005665	1005988	-	324	0	0	0	0
YDR453C	IV	1365072	1365662	-	591	16	37	33	36
YDR383C	IV	1239960	1240676	-	717	14	17	31	49
YDR375C	IV	1225166	1226536	-	1371	53	55	68	113
YDL161W	IV	167714	169078	+	1365	171	158	253	325
YDL051W	IV	363952	364779	+	828	63	54	83	79
YDR084C	IV	613405	614004	-	600	53	46	111	127
YDL056W	IV	352877	355378	+	2502	48	35	82	93
YDR344C	IV	1162006	1162449	-	444	1	4	27	18
YDR320C	IV	1106095	1108101	-	2007	31	42	62	73
YDR221W	IV	907330	909438	+	2109	61	56	76	107
tI(AAU)D	IV	668007	668080	-	74	0	0	0	0
YDL032W	IV	393690	394001	+	312	0	0	0	0
YDR456W	IV	1367485	1369386	+	1902	77	60	177	198
YDL036C	IV	387513	388901	-	1389	16	20	36	48
tL(CAA)D	IV;IV	1461715;1461792	1461758;1461829	-;-	82	0	0	0	0
YDL217C	IV	67983	68606	-	624	37	35	63	77
snR63	IV	323217	323471	-	255	11	8	14	15
YDR334W	IV	1135932	1140476	+	4545	107	89	184	189
YDL049C	IV	365068	365874	-	807	30	27	43	54
YDL164C	IV	164987	167254	-	2268	44	37	78	86
YDR384C	IV	1241204	1242031	-	828	71	68	77	70
YDR149C	IV	755555	756262	-	708	0	0	0	0
YDR093W	IV	631282	636120	+	4839	220	177	322	316
YDR071C	IV	588827	589402	-	576	113	116	231	243
YDL143W	IV	199996	201582	+	1587	330	323	435	417
YDR032C	IV	504099	504695	-	597	312	296	572	676
tR(UCU)D	IV	568882	568953	+	72	0	0	0	0
YDR063W	IV	578663	579112	+	450	45	35	79	96
YDL166C	IV	163449	164042	-	594	48	67	104	104
YDR004W	IV	455201	456583	+	1383	27	18	56	95
YDR151C	IV	764178	765155	-	978	39	54	97	108
YDR037W	IV	525440	527215	+	1776	830	763	892	978
YDL175C	IV	144484	145518	-	1035	26	31	62	50
YDR286C	IV	1035231	1035575	-	345	10	17	26	33
YDR172W	IV	808324	810381	+	2058	289	292	381	408
YDL174C	IV	145826	147589	-	1764	200	187	330	388
YDR080W	IV	604008	606986	+	2979	21	23	40	43
YDR503C	IV	1455042	1455866	-	825	18	16	55	51
YDR069C	IV	584939	587719	-	2781	26	33	54	54
YDR047W	IV	551860	552948	+	1089	118	119	244	240
YDR215C	IV	894089	894502	-	414	1	2	3	2
YDR267C	IV	1002510	1003502	-	993	81	49	105	142
YDR142C	IV	740473	741600	-	1128	21	21	66	62
YDL212W	IV	78426	79058	+	633	174	147	251	287
YDR249C	IV	958681	959802	-	1122	11	13	21	22
YDL209C	IV	86207	87226	-	1020	17	22	27	35
YDR044W	IV	546642	547628	+	987	258	239	175	169
tK(UUU)D	IV;IV	359577;359637	359613;359672	+;+	73	0	0	0	0
YDR311W	IV	1085065	1086993	+	1929	27	40	75	83
YDL159C-B	IV	173056	173232	-	177	0	0	0	0
YDR222W	IV	910054	911301	+	1248	5	6	23	25
YDR510C-A	IV	1469695	1469811	-	117	9	11	24	20
YDR401W	IV	1272223	1272786	+	564	0	0	0	0
YDR207C	IV	865012	867522	-	2511	40	56	115	122
YDL005C	IV	441014	442309	-	1296	78	63	129	164
YDR295C	IV	1052623	1054647	-	2025	35	21	63	61
YDR543C	IV	1524634	1524933	-	300	0	0	0	0
YDL208W	IV	87512	87982	+	471	183	186	206	236
YDR135C	IV	723004	727551	-	4548	242	221	373	399
YDL114W	IV	255604	256530	+	927	1	1	0	1
YDR247W	IV	956013	957398	+	1386	78	58	81	72
YDL197C	IV	104917	106494	-	1578	50	53	120	138
YDR229W	IV	924785	926146	+	1362	79	81	127	173
YDR095C	IV	636117	636527	-	411	0	0	1	2
YDR027C	IV	494649	497318	-	2670	72	59	128	143
YDL106C	IV	270222	271901	-	1680	65	48	104	126
YDR404C	IV	1276654	1277169	-	516	67	75	121	131
YDR256C	IV	968133	969680	-	1548	36	18	48	46
YDR518W	IV	1478608	1480161	+	1554	65	61	146	177
YDR055W	IV	563527	564861	+	1335	265	253	116	107
YDL087C	IV	300214	300999	-	786	29	22	50	53
YDR177W	IV	816878	817525	+	648	126	85	205	201
YDL014W	IV	427364	428347	+	984	630	534	634	719
YDR289C	IV	1038280	1039509	-	1230	43	33	66	91
YDL159W	IV	172481	174028	+	1548	24	28	47	59
YDR532C	IV	1499396	1500553	-	1158	11	13	41	33
YDR137W	IV	728259	730250	+	1992	49	31	70	89
YDL153C	IV	181186	183018	-	1833	113	73	110	147
YDR393W	IV	1259901	1261271	+	1371	31	33	53	56
YDR506C	IV	1459728	1461554	-	1827	29	24	46	82
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	13	9	28	34
YDL090C	IV	295034	296329	-	1296	37	29	78	80
YDR033W	IV	508147	509109	+	963	631	638	109	129
YDR035W	IV	521816	522928	+	1113	355	367	440	459
YDR332W	IV	1131001	1133070	+	2070	24	23	53	59
YDR510W	IV	1469400	1469705	+	306	131	145	274	268
YDL055C	IV	355674	356759	-	1086	1612	1429	1904	2117
YDR480W	IV	1417399	1418370	+	972	32	26	62	74
YDL103C	IV	275148	276581	-	1434	65	64	100	111
YDL085C-A	IV	302464	302670	-	207	26	23	33	54
YDR350C	IV	1176120	1178174	-	2055	45	37	109	103
YDR342C	IV	1154216	1155928	-	1713	360	327	67	51
YDR087C	IV	617470	618306	-	837	59	60	66	71
